Tiempo,Numero_Observaciones,errores,procesado
363,95,12,782
996,212,23,2015
360,83,8,727
153,53,6,323
402,126,16,859
291,50,5,618
244,83,7,502
452,129,14,981
376,109,9,780
267,98,9,567
204,54,5,430
364,113,13,748
165,38,4,338
697,206,24,1430
344,63,7,737
449,100,12,952
172,75,9,357
490,125,13,1053
356,126,13,732
549,101,10,1159
267,57,6,545
217,51,4,459
583,109,9,1213
287,43,4,600
175,64,6,374
268,42,4,571
324,46,6,674
674,149,16,1404
362,70,9,762
150,33,3,300
318,71,7,695
